2026-09-19T09:11:27.136857852Z 2026/09/19 09:11:27.136642 level=info event=boot node=kv-n2 variant=buggy lease_ms=5000 tick_ms=25 hb_ms=100 election_ms=600-900 peers=[kv-n1 kv-n3] client=0.0.0.0:8080 peer=0.0.0.0:9090 data_dir="/var/lib/kv" seed=20260906 node_seed=5802359890235138391
2026-09-19T09:11:27.939724762Z 2026/09/19 09:11:27.939543 level=info event=election_start node=kv-n2 term=1 last_index=0 last_term=0
2026-09-19T09:11:37.199858351Z 2026/09/19 09:11:37.199770 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.204210704Z 2026/09/19 09:11:37.204083 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.204222014Z 2026/09/19 09:11:37.204096 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.208797726Z 2026/09/19 09:11:37.208691 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.211093084Z 2026/09/19 09:11:37.210982 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.212194829Z 2026/09/19 09:11:37.212078 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.709227562Z 2026/09/19 09:11:37.709047 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.248282631Z 2026/09/19 09:11:38.248103 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.250315486Z 2026/09/19 09:11:38.250186 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.255935801Z 2026/09/19 09:11:38.255804 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.258248897Z 2026/09/19 09:11:38.258184 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.262603570Z 2026/09/19 09:11:38.262474 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.273811298Z 2026/09/19 09:11:38.273714 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.278940419Z 2026/09/19 09:11:38.278801 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.279997954Z 2026/09/19 09:11:38.279905 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.281182175Z 2026/09/19 09:11:38.281067 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.281188784Z 2026/09/19 09:11:38.281078 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.286197144Z 2026/09/19 09:11:38.286081 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.294770234Z 2026/09/19 09:11:38.294656 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.299936032Z 2026/09/19 09:11:38.299850 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.304462779Z 2026/09/19 09:11:38.304310 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.330842173Z 2026/09/19 09:11:38.330703 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:38.836588230Z 2026/09/19 09:11:38.836450 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.335415157Z 2026/09/19 09:11:39.335238 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.341559600Z 2026/09/19 09:11:39.341456 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.341572644Z 2026/09/19 09:11:39.341488 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.352064533Z 2026/09/19 09:11:39.351971 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.366639496Z 2026/09/19 09:11:39.366489 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.370030739Z 2026/09/19 09:11:39.369895 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.370657060Z 2026/09/19 09:11:39.370536 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.381521007Z 2026/09/19 09:11:39.381399 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.402134477Z 2026/09/19 09:11:39.401975 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.410184646Z 2026/09/19 09:11:39.410070 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.433529654Z 2026/09/19 09:11:39.433403 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.447324980Z 2026/09/19 09:11:39.447201 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.455099444Z 2026/09/19 09:11:39.454979 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.460831778Z 2026/09/19 09:11:39.460706 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.503576727Z 2026/09/19 09:11:39.503369 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:39.944745256Z 2026/09/19 09:11:39.944588 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.422904918Z 2026/09/19 09:11:40.422748 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.434049204Z 2026/09/19 09:11:40.433900 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.445068948Z 2026/09/19 09:11:40.444917 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.453985623Z 2026/09/19 09:11:40.453858 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.465255505Z 2026/09/19 09:11:40.465115 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.470284578Z 2026/09/19 09:11:40.470157 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.483206561Z 2026/09/19 09:11:40.483097 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.483674220Z 2026/09/19 09:11:40.483555 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.509106342Z 2026/09/19 09:11:40.508956 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.521026534Z 2026/09/19 09:11:40.520835 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.525445596Z 2026/09/19 09:11:40.525336 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.541672695Z 2026/09/19 09:11:40.541587 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.547936591Z 2026/09/19 09:11:40.547843 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.578091427Z 2026/09/19 09:11:40.577970 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:40.601361138Z 2026/09/19 09:11:40.601252 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:41.035591023Z 2026/09/19 09:11:41.035457 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:41.155116442Z 2026/09/19 09:11:41.154834 level=info event=role_change node=kv-n2 role=follower term=2 leader="kv-n3"
